id,source,type_transaction,type_bien,gouvernorat,ville,prix_dt_original,prix_dt,prix_m2,surface_m2,nb_pieces_original,nb_pieces,nb_chambres,nb_salles_bain,etage_original,etage,ascenseur,parking,piscine,climatisation,chauffage_central,meuble
mubawab_8119698,mubawab,vente,appartement,Tunis,,,,,180.0,4.0,4.0,4.0,1.0,1er étage,floor_1,1,1,0,0,1,0
mubawab_8293806,mubawab,vente,appartement,Tunis,,,320000.0,2335.7664233576643,137.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8401441,mubawab,vente,appartement,Tunis,El Menzah 1,,195000.0,2785.714285714286,70.0,,3.0,2.0,1.0,,unknown,0,0,0,0,0,0
mubawab_8112241,mubawab,vente,appartement,Tunis,,,420000.0,5250.0,80.0,1.0,1.0,,,,unknown,0,0,0,0,0,0
mubawab_8364580,mubawab,vente,appartement,Tunis,,,320000.0,2285.714285714286,140.0,3.0,3.0,3.0,1.0,,unknown,1,1,0,1,1,0
mubawab_7752529,mubawab,vente,appartement,Tunis,,,,,320.0,3.0,3.0,3.0,,,unknown,0,1,1,0,0,0
mubawab_8286675,mubawab,vente,appartement,Tunis,,,916000.0,6273.972602739726,146.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8336396,mubawab,vente,appartement,Tunis,,,340000.0,2881.35593220339,118.0,2.0,2.0,2.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8381800,mubawab,vente,appartement,Tunis,,,590000.0,5363.636363636364,110.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,1
mubawab_8343868,mubawab,vente,appartement,Tunis,,,630000.0,3750.0,168.0,3.0,3.0,3.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8341887,mubawab,vente,appartement,Tunis,,,695000.0,3159.090909090909,220.0,3.0,3.0,3.0,3.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8399756,mubawab,vente,appartement,Tunis,,,375000.0,1953.125,192.0,3.0,3.0,3.0,2.0,,unknown,1,0,0,0,1,0
mubawab_8409485,mubawab,vente,appartement,Tunis,,,130000.0,2000.0,65.0,2.0,2.0,2.0,1.0,,unknown,0,0,0,0,0,0
mubawab_8391862,mubawab,vente,appartement,Tunis,,,375000.0,3073.7704918032787,122.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,0,1,0
mubawab_8259059,mubawab,vente,appartement,Tunis,,,950000.0,4318.181818181818,220.0,3.0,3.0,3.0,3.0,,unknown,1,1,0,1,1,1
mubawab_8384015,mubawab,vente,appartement,Tunis,,,315000.0,2943.92523364486,107.0,2.0,2.0,2.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8410030,mubawab,vente,appartement,Tunis,,,1900000.0,6089.74358974359,312.0,,4.0,3.0,3.0,,unknown,1,1,1,1,1,0
mubawab_8204354,mubawab,vente,appartement,Tunis,El Ouardia,,280000.0,2545.4545454545455,110.0,2.0,2.0,2.0,1.0,,unknown,0,0,0,0,1,0
mubawab_7964247,mubawab,vente,appartement,Tunis,,,,,209.0,,3.0,2.0,3.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8412776,mubawab,vente,appartement,Tunis,,,188000.0,3357.1428571428573,56.0,3.0,3.0,3.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8408951,mubawab,vente,appartement,Tunis,,,,,70.0,1.0,1.0,1.0,1.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8414442,mubawab,vente,appartement,Tunis,,,,,90.0,2.0,2.0,2.0,1.0,7éme étage,unknown,1,0,0,1,1,1
mubawab_8382905,mubawab,vente,appartement,Tunis,El Menzah 1,,280000.0,2333.3333333333335,120.0,2.0,2.0,2.0,1.0,RDC,ground_floor,0,1,0,1,1,0
mubawab_7964253,mubawab,vente,appartement,Tunis,,,,,210.0,2.0,2.0,2.0,3.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8370832,mubawab,vente,appartement,Tunis,,,670000.0,5583.333333333333,120.0,2.0,2.0,,2.0,,unknown,1,1,0,1,1,0
mubawab_8363181,mubawab,vente,appartement,Tunis,,,275000.0,,,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8231023,mubawab,vente,appartement,Tunis,Centre Urbain Nord,,430000.0,3257.5757575757575,132.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8286595,mubawab,vente,appartement,Tunis,,,560000.0,4869.565217391304,115.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8411118,mubawab,vente,appartement,Tunis,,,,,116.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,1
mubawab_8411139,mubawab,vente,appartement,Tunis,,,550000.0,3395.061728395062,162.0,3.0,3.0,3.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8389827,mubawab,vente,appartement,Tunis,,,,,125.0,1.0,1.0,,2.0,rez-de-chaussée,ground_floor,1,1,0,1,1,0
mubawab_8284217,mubawab,vente,appartement,Tunis,,,,,90.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8411089,mubawab,vente,appartement,Tunis,,,310000.0,3100.0,100.0,2.0,2.0,2.0,1.0,1er étage,floor_1,1,1,0,1,1,0
mubawab_8393181,mubawab,vente,appartement,Tunis,,,298000.0,2785.0467289719627,107.0,2.0,2.0,2.0,1.0,3éme étage,unknown,1,0,0,1,1,0
mubawab_8411878,mubawab,vente,appartement,Tunis,Ain Zaghouan Nord,,,,282.0,,11.0,10.0,2.0,,unknown,0,1,0,1,1,0
mubawab_8413557,mubawab,vente,appartement,Tunis,,,490000.0,3500.0,140.0,3.0,3.0,3.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8413909,mubawab,vente,appartement,Tunis,Manar,,490000.0,2413.793103448276,203.0,4.0,4.0,4.0,3.0,,unknown,0,1,0,1,1,0
mubawab_8381198,mubawab,vente,appartement,Tunis,,,700000.0,4666.666666666667,150.0,,4.0,3.0,2.0,rdc,ground_floor,0,1,0,1,1,0
mubawab_8412533,mubawab,vente,appartement,Tunis,,,245000.0,4537.037037037037,54.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8413046,mubawab,vente,appartement,Tunis,,,1100000.0,8148.148148148148,135.0,,4.0,3.0,3.0,,unknown,1,1,0,1,1,0
mubawab_8405838,mubawab,vente,appartement,Tunis,,,245000.0,2401.9607843137255,102.0,3.0,3.0,3.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8413510,mubawab,vente,appartement,Tunis,,,450000.0,6521.739130434783,69.0,2.0,2.0,2.0,1.0,,unknown,0,1,0,0,0,0
mubawab_8347604,mubawab,vente,appartement,Tunis,,,370000.0,2868.217054263566,129.0,3.0,3.0,3.0,1.0,,unknown,0,1,0,1,1,0
mubawab_8412761,mubawab,vente,appartement,Tunis,,,298000.0,2055.1724137931033,145.0,3.0,3.0,3.0,2.0,,unknown,0,0,0,1,1,0
mubawab_8411339,mubawab,vente,appartement,Tunis,Jardins De Carthage,,,,70.0,1.0,1.0,1.0,1.0,,unknown,0,1,0,1,1,0
mubawab_8411133,mubawab,vente,appartement,Tunis,,,399600.0,3700.0,108.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8003736,mubawab,vente,appartement,Tunis,Manar,,310000.0,2214.285714285714,140.0,3.0,3.0,3.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8412807,mubawab,vente,appartement,Tunis,,,210000.0,3387.0967741935483,62.0,3.0,3.0,,1.0,,unknown,0,0,0,0,1,0
mubawab_8365219,mubawab,vente,appartement,Tunis,,,,,109.0,1.0,1.0,,2.0,,unknown,1,1,0,1,1,0
mubawab_8413278,mubawab,vente,appartement,Tunis,,,350000.0,2364.864864864865,148.0,3.0,3.0,3.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8411130,mubawab,vente,appartement,Tunis,,,380000.0,3584.9056603773583,106.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8357947,mubawab,vente,appartement,Tunis,,,425000.0,3695.6521739130435,115.0,3.0,3.0,3.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8412438,mubawab,vente,appartement,Tunis,El Ouardia,,174000.0,1740.0,100.0,3.0,3.0,3.0,1.0,rez-de-chaussée,ground_floor,0,0,0,0,0,0
mubawab_8413513,mubawab,vente,appartement,Tunis,,,430000.0,5733.333333333333,75.0,2.0,2.0,2.0,1.0,,unknown,0,1,0,0,0,0
mubawab_8354922,mubawab,vente,appartement,Tunis,,,210000.0,1693.5483870967741,124.0,3.0,3.0,3.0,2.0,1er étage,floor_1,1,1,0,1,1,0
mubawab_8376554,mubawab,vente,appartement,Tunis,,,,,57.0,1.0,1.0,1.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8184027,mubawab,vente,appartement,Tunis,,,750000.0,4746.835443037975,158.0,3.0,3.0,3.0,,,unknown,0,1,0,0,0,0
mubawab_8310160,mubawab,vente,appartement,Tunis,,,247000.0,3920.6349206349205,63.0,1.0,1.0,1.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8362420,mubawab,vente,appartement,Tunis,,,300000.0,2238.805970149254,134.0,2.0,2.0,2.0,2.0,2ème étage,floor_2,0,1,0,1,1,0
mubawab_8409575,mubawab,vente,appartement,Tunis,,,1150000.0,5000.0,230.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,0,0,0
mubawab_8315133,mubawab,vente,appartement,Tunis,,,440000.0,5500.0,80.0,1.0,1.0,,,,unknown,0,1,0,0,0,0
mubawab_8376817,mubawab,vente,appartement,Tunis,,,380000.0,6333.333333333333,60.0,1.0,1.0,1.0,1.0,,unknown,1,1,0,1,1,1
mubawab_8222995,mubawab,vente,appartement,Tunis,,,230000.0,1716.4179104477612,134.0,3.0,3.0,3.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8068623,mubawab,vente,appartement,Tunis,,,351000.0,3475.2475247524753,101.0,2.0,2.0,2.0,1.0,1er étage,floor_1,1,1,0,1,1,0
mubawab_8402907,mubawab,vente,appartement,Tunis,,,,,64.0,1.0,1.0,1.0,1.0,,unknown,0,0,0,1,1,0
mubawab_8257775,mubawab,vente,appartement,Tunis,,,60000.0,352.94117647058823,170.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8291865,mubawab,vente,appartement,Tunis,,,295000.0,2681.818181818182,110.0,2.0,2.0,2.0,1.0,4ème étage,floor_4,0,1,0,1,1,0
mubawab_8412841,mubawab,vente,appartement,Tunis,,,,,245.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,1
mubawab_8376874,mubawab,vente,appartement,Tunis,,,550000.0,,59.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,1
mubawab_8408351,mubawab,vente,appartement,Tunis,,,185000.0,3363.6363636363635,55.0,1.0,1.0,1.0,1.0,RDC,ground_floor,1,0,0,1,1,0
mubawab_8286528,mubawab,vente,appartement,Tunis,,,,,160.0,3.0,3.0,3.0,,,unknown,0,1,0,0,0,1
mubawab_8318552,mubawab,vente,appartement,Tunis,,,248000.0,3647.0588235294117,68.0,1.0,1.0,,1.0,,unknown,1,0,0,1,1,0
mubawab_8364800,mubawab,vente,appartement,Tunis,,,340000.0,2956.521739130435,115.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8365495,mubawab,vente,appartement,Tunis,,,280000.0,2568.8073394495414,109.0,3.0,3.0,3.0,1.0,3éme étage,unknown,1,0,0,1,1,0
mubawab_8409709,mubawab,vente,appartement,Tunis,Manar,,,,60.0,1.0,1.0,1.0,1.0,1er étage,floor_1,1,0,0,1,1,1
mubawab_8408746,mubawab,vente,appartement,Tunis,,,380000.0,2602.7397260273974,146.0,3.0,3.0,3.0,3.0,,unknown,1,1,0,1,1,0
mubawab_7917234,mubawab,vente,appartement,Tunis,,,,,193.0,3.0,3.0,3.0,2.0,RDC,ground_floor,1,1,0,1,1,0
mubawab_8368503,mubawab,vente,appartement,Tunis,Centre Urbain Nord,,380000.0,4222.222222222223,90.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8411786,mubawab,vente,appartement,Tunis,,,365000.0,2449.6644295302012,149.0,3.0,3.0,3.0,2.0,2ème étage,floor_2,1,1,0,1,1,0
mubawab_8341222,mubawab,vente,appartement,Tunis,,,,,136.0,,4.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8365412,mubawab,vente,appartement,Tunis,,,260000.0,3561.6438356164385,73.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8376350,mubawab,vente,appartement,Tunis,,,,,49.0,1.0,1.0,1.0,1.0,,unknown,1,0,0,1,1,1
mubawab_8254398,mubawab,vente,appartement,Tunis,,,170000.0,2266.6666666666665,75.0,1.0,1.0,1.0,1.0,4e étage,floor_4,1,0,0,1,1,0
mubawab_8332271,mubawab,vente,appartement,Tunis,,,353000.0,4104.6511627906975,86.0,2.0,2.0,2.0,1.0,,unknown,0,1,0,0,0,0
mubawab_8391338,mubawab,vente,appartement,Tunis,,,130000.0,2166.6666666666665,60.0,2.0,2.0,2.0,,1er étage,floor_1,0,0,0,0,1,0
mubawab_8167149,mubawab,vente,appartement,Tunis,,,,,580.0,4.0,4.0,4.0,4.0,RDC,ground_floor,0,1,1,1,1,0
mubawab_8322211,mubawab,vente,appartement,Tunis,,,1800000.0,6000.0,300.0,3.0,3.0,3.0,,,unknown,0,1,1,0,0,0
mubawab_8405345,mubawab,vente,appartement,Tunis,,,100000.0,1538.4615384615386,65.0,2.0,2.0,2.0,1.0,1er étage,floor_1,0,0,0,0,0,0
mubawab_8337495,mubawab,vente,appartement,Tunis,,,450000.0,5172.413793103448,87.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8406950,mubawab,vente,appartement,Tunis,Sidi Hassine,,,,80.0,,4.0,3.0,1.0,,unknown,0,0,0,0,0,0
mubawab_8396343,mubawab,vente,appartement,Tunis,,,475000.0,1599.3265993265993,297.0,,4.0,3.0,2.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8379669,mubawab,vente,appartement,Tunis,,,285000.0,3166.6666666666665,90.0,2.0,2.0,2.0,1.0,1er étage,floor_1,0,0,0,0,0,0
mubawab_8407955,mubawab,vente,appartement,Tunis,El Ouardia,,250000.0,2083.3333333333335,120.0,,4.0,3.0,1.0,,unknown,0,0,0,1,0,0
mubawab_8150234,mubawab,vente,appartement,Tunis,,,290000.0,2543.8596491228072,114.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8373687,mubawab,vente,appartement,Tunis,,,730000.0,4562.5,160.0,3.0,3.0,3.0,1.0,,unknown,0,1,0,1,0,1
mubawab_8350574,mubawab,vente,appartement,Tunis,,,590000.0,3933.3333333333335,150.0,3.0,3.0,3.0,3.0,,unknown,1,1,0,0,0,0
mubawab_8399769,mubawab,vente,appartement,Tunis,,,465000.0,3720.0,125.0,3.0,3.0,3.0,2.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8190285,mubawab,vente,appartement,Tunis,,,,,312.0,3.0,3.0,3.0,4.0,RDC,ground_floor,1,1,0,1,1,0
mubawab_8393777,mubawab,vente,appartement,Tunis,,,250000.0,2314.814814814815,108.0,3.0,3.0,2.0,1.0,1er étage,floor_1,0,1,0,0,0,0
mubawab_8348352,mubawab,vente,appartement,Tunis,,,420000.0,4666.666666666667,90.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8394399,mubawab,vente,appartement,Tunis,,,520000.0,4601.769911504425,113.0,,4.0,3.0,2.0,,unknown,0,0,0,1,1,0
mubawab_8395429,mubawab,vente,appartement,Tunis,,,230000.0,2875.0,80.0,3.0,3.0,3.0,1.0,,unknown,1,0,0,0,0,0
mubawab_8318832,mubawab,vente,appartement,Tunis,,,560000.0,7466.666666666667,75.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,0
mubawab_8404618,mubawab,vente,appartement,Tunis,,,350000.0,3097.3451327433627,113.0,,3.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8405118,mubawab,vente,appartement,Tunis,,,280000.0,2978.723404255319,94.0,3.0,3.0,3.0,1.0,3éme étage,unknown,1,0,0,1,1,0
mubawab_8363042,mubawab,vente,appartement,Tunis,,,120000.0,1846.1538461538462,65.0,1.0,1.0,1.0,1.0,4éme étage,unknown,0,0,0,0,0,0
mubawab_8240922,mubawab,vente,appartement,Tunis,Manar,,195000.0,1788.9908256880733,109.0,2.0,2.0,2.0,1.0,,unknown,0,0,0,0,1,0
mubawab_8187263,mubawab,vente,appartement,Tunis,,,730000.0,4620.2531645569625,158.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8245095,mubawab,vente,appartement,Tunis,,,335000.0,3101.8518518518517,108.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8404099,mubawab,vente,appartement,Tunis,,,95000.0,2111.1111111111113,45.0,,3.0,2.0,,1er étage,floor_1,0,0,0,0,0,0
mubawab_8068618,mubawab,vente,appartement,Tunis,,,259400.0,,,1.0,1.0,,1.0,1er étage,floor_1,1,1,0,1,1,0
mubawab_8383359,mubawab,vente,appartement,Tunis,,,2600000.0,4452.054794520548,584.0,4.0,4.0,4.0,4.0,RDC,ground_floor,0,1,0,1,1,0
mubawab_8286649,mubawab,vente,appartement,Tunis,,,1600000.0,5128.205128205128,312.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8406895,mubawab,vente,appartement,Tunis,,,195000.0,3145.1612903225805,62.0,1.0,1.0,1.0,1.0,2éme étage,unknown,0,0,0,0,0,0
mubawab_8398729,mubawab,vente,appartement,Tunis,,,375000.0,2757.3529411764707,136.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8380666,mubawab,vente,appartement,Tunis,,,,,54.0,1.0,1.0,1.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8380609,mubawab,vente,appartement,Tunis,,,193000.0,3574.074074074074,54.0,1.0,1.0,1.0,1.0,,unknown,1,0,0,0,1,0
mubawab_8277318,mubawab,vente,appartement,Tunis,,,260000.0,4062.5,64.0,1.0,1.0,,1.0,,unknown,0,1,0,1,1,1
mubawab_8336371,mubawab,vente,appartement,Tunis,,,1300000.0,6500.0,200.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8402869,mubawab,vente,appartement,Tunis,,,400000.0,2547.770700636943,157.0,3.0,3.0,3.0,1.0,,unknown,0,0,0,0,0,1
mubawab_8366360,mubawab,vente,appartement,Tunis,,,,,108.0,2.0,2.0,2.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8372967,mubawab,vente,appartement,Tunis,,,385000.0,2081.0810810810813,185.0,4.0,4.0,4.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8346711,mubawab,vente,appartement,Tunis,,,245000.0,4224.137931034483,58.0,1.0,1.0,,1.0,,unknown,0,0,0,1,1,0
mubawab_8388912,mubawab,vente,appartement,Tunis,,,325000.0,2685.9504132231405,121.0,3.0,3.0,3.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8402929,mubawab,vente,appartement,Tunis,,,238000.0,2644.4444444444443,90.0,2.0,2.0,2.0,1.0,Rez-de-chaussée,ground_floor,1,0,0,1,1,0
mubawab_8366618,mubawab,vente,appartement,Tunis,,,,,165.0,3.0,3.0,3.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8305711,mubawab,vente,appartement,Tunis,,,186000.0,4428.571428571428,42.0,1.0,1.0,1.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8364604,mubawab,vente,appartement,Tunis,,,370000.0,2700.7299270072995,137.0,3.0,3.0,3.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8242533,mubawab,vente,appartement,Tunis,,,1330000.0,6861.328931077177,193.84,3.0,3.0,3.0,3.0,,unknown,1,1,0,1,1,0
mubawab_8402918,mubawab,vente,appartement,Tunis,,,,,60.0,1.0,1.0,1.0,1.0,rez-de-chaussée,ground_floor,0,1,0,1,1,0
mubawab_8330966,mubawab,vente,appartement,Tunis,,,259000.0,3924.242424242424,66.0,1.0,1.0,,1.0,,unknown,1,0,0,1,0,0
mubawab_8412520,mubawab,vente,appartement,Tunis,,,,,65.0,1.0,1.0,1.0,1.0,,unknown,1,0,0,1,1,0
mubawab_8309595,mubawab,vente,appartement,Tunis,,,315000.0,2916.6666666666665,108.0,2.0,2.0,2.0,2.0,,unknown,1,0,0,1,1,0
mubawab_8027780,mubawab,vente,appartement,Tunis,El Ouardia,,,,200.0,,5.0,4.0,2.0,,unknown,0,1,0,0,0,0
mubawab_8356289,mubawab,vente,appartement,Tunis,Manar,,300000.0,2400.0,125.0,3.0,3.0,3.0,2.0,1er étage,floor_1,1,0,0,1,1,0
mubawab_8392880,mubawab,vente,appartement,Tunis,,,340000.0,5666.666666666667,60.0,1.0,1.0,,1.0,,unknown,1,1,0,1,1,1
mubawab_8382500,mubawab,vente,appartement,Tunis,,,550000.0,3928.5714285714284,140.0,3.0,3.0,3.0,2.0,rez de chaussée,ground_floor,1,1,0,1,1,0
mubawab_8402913,mubawab,vente,appartement,Tunis,,,435000.0,3565.5737704918033,122.0,2.0,2.0,2.0,2.0,,unknown,1,1,0,1,1,0
mubawab_8310338,mubawab,vente,appartement,Tunis,,,186000.0,3875.0,48.0,1.0,1.0,1.0,1.0,,unknown,1,1,0,1,1,0
mubawab_8366492,mubawab,vente,appartement,Tunis,,,,,140.0,3.0,3.0,3.0,1.0,,unknown,0,0,0,0,1,0
mubawab_8411119,mubawab,vente,appartement,Tunis,,,,,185.0,3.0,3.0,3.0,3.0,,unknown,1,1,0,1,1,0
mubawab_8363069,mubawab,vente,appartement,Tunis,,,198000.0,3735.8490566037735,53.0,1.0,1.0,1.0,1.0,7ème étage,floor_7,1,0,0,1,1,0
mubawab_8245040,mubawab,vente,appartement,Tunis,,,265000.0,3192.7710843373493,83.0,2.0,2.0,2.0,1.0,,unknown,0,1,0,1,1,1
mubawab_8147412,mubawab,vente,appartement,Tunis,,,380000.0,3584.9056603773583,106.0,2.0,2.0,2.0,3.0,,unknown,1,1,0,1,1,0
mubawab_8401408,mubawab,vente,appartement,Tunis,,,945000.0,4725.0,200.0,3.0,3.0,3.0,3.0,4ème étage,floor_4,1,1,0,1,1,0
mubawab_8318536,mubawab,vente,appartement,Tunis,,,215000.0,4387.755102040816,49.0,1.0,1.0,1.0,1.0,,unknown,1,1,1,1,1,1
mubawab_8380466,mubawab,vente,appartement,Tunis,,,295000.0,2950.0,100.0,2.0,2.0,2.0,,,unknown,0,1,0,1,1,0
mubawab_8371645,mubawab,vente,appartement,Tunis,,,740000.0,3592.233009708738,206.0,3.0,3.0,3.0,1.0,,unknown,0,1,0,1,1,0
mubawab_8249225,mubawab,vente,appartement,Tunis,El Menzah 1,,255000.0,3541.6666666666665,72.0,2.0,2.0,,,,unknown,0,0,0,0,0,0
